level_0,index,pmid,doi,author,publicationyear,population,totalsamplesize,sex,durationofstudy,noofMALES,noofFEMALES,meanBMI,meanDBP,intervention_control,extracted_portion,lname,Author_pmid
73,71,69,32540150,10.1016/j.soard.2020.04.033,Ville Wallenius ,2020,EUR,49.0,Both,24.0,13.0,11.0,32.4,85.8,control,SG,Wallenius,Wallenius_32540150
74,72,70,20587720, 10.2337/dc09-1833,Miguel F Herrera,2010,EUR,24.0,Both,12.0,1.0,10.0,30.7,76.6,intervention,LRYGB,Herrera,Herrera_20587720
75,73,71,21893621,10.7326/0003-4819-155-5-201109060-00005, Torgeir T. Søvik,2011,Mixed,60.0,Both,12.0,8.0,23.0,37.0,79.3,intervention,GB,Søvik,Søvik_21893621
76,74,72,33963974,10.1007/s11695-021-05454-2,Oral Ospanov,2021,East Asian,60.0,Both,12.0,2.0,18.0,27.74,74.55,intervention,LOAGB-OSPAN,Ospanov,Ospanov_33963974_a
77,75,73,32889869,10.1097/SLA.0000000000004339,Robert Caiazzo,2020,EUR,80.0,Both,12.0,0.0,0.0,37.2,78.6,control,MT,Caiazzo,Caiazzo_32889869
78,76,74,30471927,10.1016/j.soard.2018.10.010,Boerboom Abel,2018,EUR,146.0,Both,48.0,15.0,57.0,34.0,89.0,control,S-GB,Abel,Abel_30471927
79,77,75,32805133,10.7326/M19-3781,Carlos A Schiavon,2020,EUR,100.0,Both,36.0,15.0,35.0,36.4,79.3,control,MT,Schiavon,Schiavon_32805133
80,78,76,32889869,10.1097/SLA.0000000000004339,Robert Caiazzo,2020,EUR,80.0,Both,24.0,0.0,0.0,36.8,75.9,control,MT,Caiazzo,Caiazzo_32889869
81,79,77,1234567,https://doi.org/10.31925/farmacia.2019.1.13,Liviu Iosif,2019,EUR,38.0,Male,6.0,17.0,0.0,39.1,80.0,control,DTG,Iosif,Iosif_1234567
82,80,78,28000425,10.1002/oby.21702,Shelby Sullivan,2016,EUR,332.0,Both,6.0,10.0,101.0,34.760000000000005,81.47,control,Sham,Sullivan,Sullivan_28000425
83,81,79,28000425,10.1002/oby.21702,Shelby Sullivan,2016,EUR,332.0,Both,6.0,26.0,195.0,33.56,79.53,intervention,POSE,Sullivan,Sullivan_28000425
84,82,80,1234567,https://doi.org/10.31925/farmacia.2019.1.13,Liviu Iosif,2019,EUR,38.0,Male,6.0,19.0,0.0,29.3,82.0,intervention,LSG,Iosif,Iosif_1234567
85,83,81,21893621,10.7326/0003-4819-155-5-201109060-00005, Torgeir T. Søvik,2011,Mixed,60.0,Both,12.0,10.0,19.0,30.6,82.2,control,DS,Søvik,Søvik_21893621
86,84,82,24899464,10.1001/jamasurg.2014.514,Florencia Halperin,2014,Mixed,43.0,Both,12.0,9.0,10.0,34.1,74.5,control,WhyWAIT,Halperin,Halperin_24899464
87,85,83,20587720, 10.2337/dc09-1833,Miguel F Herrera,2010,EUR,24.0,Both,6.0,1.0,10.0,33.2,81.3,intervention,LRYGB,Herrera,Herrera_20587720
88,86,84,21893621,10.7326/0003-4819-155-5-201109060-00005, Torgeir T. Søvik,2011,Mixed,60.0,Both,24.0,10.0,19.0,30.1,77.4,control,DS,Søvik,Søvik_21893621
89,87,85,28000425,10.1002/oby.21702,Shelby Sullivan,2016,EUR,332.0,Both,12.0,26.0,195.0,34.31,80.89,intervention,POSE,Sullivan,Sullivan_28000425
90,88,86,194696,doi.org/10.1155/2015/194696,Bartolomé Burguera,2015,EUR,143.0,Both,30.0,0.0,0.0,46.4,81.6,control,COT,Burguera,Burguera_194696_b
91,89,87,194696,doi.org/10.1155/2015/194696,Bartolomé Burguera,2015,EUR,143.0,Both,30.0,0.0,0.0,39.6,84.2,control,ILI,Burguera,Burguera_194696_a
