level_0,index,pmid,doi,author,publicationyear,population,totalsamplesize,sex,durationofstudy,noofMALES,noofFEMALES,meanBMI,meanDBP,lowerboundBMI,upperboundBMI,lowerboundDBP,upperboundDBP,meanDBP_sd,meanBMI_sd,intervention_control,extracted_portion,lname,Author_pmid
41,39,38,23706413,10.1016/j.diabres.2013.04.005,Liang Ziwen,2013,East Asian,108.0,Both,0.0,24.0,12.0,30.94,87.83,27.0984,34.7816,74.4824,101.1776,6.81,1.96,control,usualcare,Ziwen,Ziwen_23706413
42,40,39,23706413,10.1016/j.diabres.2013.04.005,Liang Ziwen,2013,East Asian,108.0,Both,0.0,24.0,10.0,30.28,85.83,27.4576,33.1024,64.27,107.39,11.0,1.44,control,usualcareplusexenatide,Ziwen,Ziwen_23706413
43,41,40,24899464,10.1001/jamasurg.2014.514,Florencia Halperin,2014,Mixed,43.0,Both,0.0,9.0,10.0,36.5,76.6,29.836,43.164,59.35199999999999,93.848,8.8,3.4,control,WhyWAIT,Halperin,Halperin_24899464
44,42,41,24899464,10.1001/jamasurg.2014.514,Florencia Halperin,2014,Mixed,43.0,Both,0.0,6.0,13.0,36.0,81.7,29.14,42.86,67.196,96.20400000000001,7.4,3.5,intervention,RYGB,Halperin,Halperin_24899464
45,43,42,12345678,https://doi.org/10.1016/j.ajme.2012.07.002,Hala Mourad Demerdash,2012,AFR,40.0,Both,0.0,2.0,14.0,46.2,91.5,41.1824,51.217600000000004,71.50800000000001,111.49199999999999,10.2,2.56,intervention,RYGB,Demerdash,Demerdash_12345678
46,44,43,12345678,https://doi.org/10.1016/j.ajme.2012.07.002,Hala Mourad Demerdash,2012,AFR,40.0,Both,0.0,3.0,15.0,45.8,92.5,40.507999999999996,51.092,72.9,112.1,10.0,2.7,control,BAND,Demerdash,Demerdash_12345678
47,45,44,20587720, 10.2337/dc09-1833,Miguel F Herrera,2010,EUR,24.0,Both,3.0,3.0,8.0,36.5,74.4,30.62,42.38,58.328,90.47200000000001,8.2,3.0,control,LRYGB_Omentectomy,Herrera,Herrera_20587720
48,46,45,31931977,10.1016/j.soard.2019.03.038,Donald C Simonson ,2019,Mixed,40.0,Both,24.0,13.0,9.0,35.1,82.5,25.868000000000002,44.332,63.524,101.57600000000001,9.707142857142859,4.710204081632653,control,DWM,Simonson,Simonson_31931977
49,47,46,31931977,10.1016/j.soard.2019.03.038,Donald C Simonson ,2019,Mixed,40.0,Both,12.0,9.0,9.0,31.799999999999997,77.89999999999999,25.119999999999997,38.58,64.612,91.188,6.779591836734696,3.4336734693877555,intervention,LAGB,Simonson,Simonson_31931977
50,48,47,31931977,10.1016/j.soard.2019.03.038,Donald C Simonson ,2019,Mixed,40.0,Both,36.0,13.0,9.0,35.0,80.4,25.468000000000004,44.532000000000004,61.224000000000004,99.57600000000001,9.783673469387756,4.863265306122449,control,DWM,Simonson,Simonson_31931977
51,49,48,29133606,10.1161/CIRCULATIONAHA.117.032130,Carlos Aurelio Schiavon ,2018,Mixed,100.0,Both,12.0,15.0,35.0,36.3,80.6,28.656,43.943999999999996,56.687999999999995,104.512,12.2,3.9,control,MT,Schiavon,Schiavon_29133606
